R&D Spend,Administration,Marketing Spend,State Mean Encoded,State,Profit
1.0,0.6517439310268491,1.0,0.9999999999999999, New York  ,0.9999999999999999
0.9833047291940914,0.7619717267693455,0.9406538692620292,0.9776136172023978, California,0.9973546071489973
0.9277477342457533,0.3795789541636034,0.8641152275057702,0.8455003346745716, Florida   ,0.9931780771113125
0.8727191751086041,0.5129983902549908,0.8114743169519156,0.8229470787433638, New York  ,0.9472923902707072
0.8589754145982136,0.3053280382623889,0.7752284800612037,0.7584141870428359, Florida   ,0.8531713770486985
0.7969001951675032,0.36944789841721865,0.7681903877748235,0.7513278149553742, New York  ,0.8013817738812774
0.8135169499624256,0.7301611069589005,0.26775526619903967,0.4949746856892432, California,0.7964904128230798
0.787320695734378,0.7174572453826598,0.6852231069891713,0.7584659227021586, Florida   ,0.7944073567115476
0.7281266013034021,0.7417327573593728,0.6591241337126442,0.7323762559648763, New York  ,0.7744680537151531
0.7450697982460105,0.4369288415971631,0.6450105991917046,0.6715804966817268, California,0.7606612958421151
0.6150887871066273,0.4515063745019315,0.4836488843527915,0.5395014228691843, Florida   ,0.7401747478593222
0.6075580458736165,0.3083642186250832,0.5274549466516112,0.5402481953828903, California,0.7296862610367595
0.5662478842695842,0.5788355604289264,0.5276568917560407,0.5801742275224563, Florida   ,0.7146289712216599
0.5548930371042761,0.6410656106974888,0.5336701057207841,0.5928224739482413, California,0.6736437680661096
0.7244903512984722,0.8013271984483843,0.5418594064099365,0.6660493395251709, Florida   ,0.6640441742369922
0.6916056736616099,0.5430297340746311,0.5530607942020622,0.6188209451553518, New York  ,0.6489208298459465
0.4700709890317258,0.5352703611885348,0.5585299119986272,0.5703829006856844, California,0.6324544320565053
0.5710620564702441,0.7140127290590412,0.5973233133034748,0.6512317562178046, New York  ,0.6233173891965461
0.5534171909410484,0.4787720110515626,0.623596522492107,0.6214920237163799, Florida   ,0.6171034724941257
0.5210796376249452,0.7782360434590043,0.4737183416223269,0.2599926234426825, New York  ,0.6087126830360756
0.45939639147937444,0.4764236225246156,0.6315664268189909,0.604784079826432, California,0.5844823666661918
0.47235462781802845,0.7802101240217711,0.633849604676869,0.6645205604908874, New York  ,0.5441569208949433
0.4456876415859384,0.5442927284683095,0.6414727610233052,0.6204557171713756, Florida   ,0.5387465837311015
0.40647799564521314,0.4146382960971639,0.6445575262305706,0.5899127241318586, Florida   ,0.5296337552510714
0.46419078298484,0.36538760476550297,0.2951196684890959,0.3666317467130744, New York  ,0.5286091491049999
0.38907693021813666,0.6719579313474888,0.2895604000483783,0.40165838143313315, California,0.5221461621643781
0.4537838315874037,0.7068447734138883,0.28123370262677827,0.41736256485835255, Florida   ,0.5127374677491208
0.43423813833319724,0.5829780693747877,0.7475946048116906,0.6939710499221401, New York  ,0.5086535154802813
0.39749167436000193,1.0,0.24739130829887968,0.43583216752599496, Florida   ,0.49893437018932785
0.3947852383831647,0.7745664247050259,0.2239601854234453,0.3789293711263202, New York  ,0.4861078442033281
0.3728747812215671,0.48992809359023687,0.189893755252536,0.29994184934060586, Florida   ,0.4800990176676563
0.36766808964295533,0.7720532249634258,0.18369428103339625,0.3460654643136871, New York  ,0.46627975841707336
0.38145681179487656,0.5932935005308215,0.09402678133874004,0.2583021531539008, California,0.46596598510320086
0.33343152891121525,0.3941336494866646,0.45273432160373994,0.44461776644661233, Florida   ,0.4623117536093364
0.27841037236551924,0.8100549609241365,0.44456811190819145,0.5024378524353239, California,0.4619394152835423
0.2759101774407238,0.25703165334499783,0.43333114057569194,0.39389749217834136, New York  ,0.4606257007036192
0.17063404105950497,0.5768245591090664,0.4239865878996341,0.4219789679442585, Florida   ,0.4281259483378884
0.26411414796020677,0.0,0.41526649230590007,0.33266182738273953, California,0.4238515471552806
0.1194580453578622,0.11163611328110429,0.3902296408890803,0.30364899890667896, New York  ,0.37474658665935207
0.23067239497800912,0.24130912021870482,0.3683819429962324,0.33842201251160553, California,0.37348912827838066
0.17118359245942907,0.5120407343287374,0.36369217283632127,0.37105974554202525, California,0.3579139322953549
0.16595681680072735,0.25446874380054824,0.34597497485369516,0.3114519943930406, Florida   ,0.3554301000397398
0.14015702595427443,0.34185187818555723,0.3109243363047221,0.2986459223391501, California,0.3199513031925872
0.09079508989749534,0.5793069281153622,0.07157194992927665,0.17476649330463812, New York  ,0.31015568551106676
0.13127883104586177,0.788071657023371,0.05625006477715372,0.21203224015543423, California,0.2844847824729336
0.0027800978294934414,0.554724098414143,0.0,0.10359878732944652, New York  ,0.2829404118460576
0.004692818242412419,0.4912597529795813,0.6282676921650046,0.5015074280297263, Florida   ,0.19602019208986038
0.46266985129791594,0.6405468169663746,0.4737183416223269,0.11519527855994749, California,0.15698987776975204
0.0,0.0035018386537032375,0.4737183416223269,0.0, New York  ,0.11821128037588378
0.46266985129791594,0.5001480636547349,0.09208545659630624,0.15223039022459284, California,0.0
